recID,X,Y,Z,FEATNAME,NAME
1,677634.8606,4163978.808,29,Driving School,Truck Driving Academy
2,677634.8606,4163978.808,29,Sport School,Ceres Ata Black Belt Academy
3,678943.4794,4165917.308,29,Park and Recreation Area,Legion Park
4,679921.2641,4164623.412,29,School,Stanislaus County
5,681263.9988,4163808.743,29,School,Mae Hensley Junior High School
6,679180.0773,4162885.955,29,Sport School,Valley Acrobatics & Tumbling
7,679775.8191,4164814.197,29,School,M Robert Adkison School M Robert Adkison School
8,679225.7411,4163943.8,29,Park and Recreation Area,Independence Park
9,680351.7067,4163682.481,29,Pre School,Caswell School Caswell School
10,680030.1062,4164117.771,29,School,Seventh-Day Adventist Schools
11,680199.396,4164350.144,29,School,Summit Charter Academy
12,681262.8906,4163338.566,29,School,Carroll Fowler School Carroll Fowler School
13,681375.7959,4163539.423,29,Park and Recreation Area,Smyrna Park
14,678101.4787,4163940.758,29,Park and Recreation Area,Parklawn Park
15,680030.1062,4164117.771,29,Primary School,Central Valley Christian Academy K-12
16,678521.0891,4165890.983,29,Park and Recreation Area,Mancini Park
17,678549.0797,4165526.571,29,Pre School,Tuolumne Headstart
18,679993.0235,4165498.884,29,Pre School,Hands On Learning Preschool
19,680324.9379,4163349.963,29,Sport School,Ceres Karate
20,681919.7231,4163724.311,29,Driving School,Pattars Finance & Registration SVRC
21,682340.929,4163211.569,29,Park and Recreation Area,Persehone Park
