recID,X,Y,Z,FEATNAME,NAME
1,651735.2011,4201538.246,7,Park and Recreation Area,Union Park
2,652416.6925,4201872.595,7,Park and Recreation Area,Stribley Park
3,651418.4491,4202405.629,7,School,Stockton Unified School District General Offices
4,651387.4672,4202522.051,7,School,Person Centered Service
5,651138.3243,4201988.19,7,Park and Recreation Area,Independence Park
6,650895.1938,4202017.78,7,School,Team Charter School
7,651336.4368,4202729.346,7,Park and Recreation Area,Constitution Park
8,651425.1293,4202353.359,7,School,Frederick High School
9,653339.9823,4203572.76,7,Sport School,Shaolin Kung Fu
10,653846.7741,4204273.386,7,Driving School,Western Pacific Truck School
11,653296.0969,4203776.183,7,School,Fillmore Elementary School
12,653793.8301,4202570.042,7,Park and Recreation Area,Sousa Park
13,653746.4585,4202686.926,7,School,King Elementary School
14,652251.4676,4203547.983,7,School,Fremont Elementary School
15,655629.6062,4202212.803,7,School,Henry Elementary School
16,655140.4998,4202072.529,7,Pre School,Kiddie Kingdom Preschool
17,654533.9659,4200581.264,7,School,Montezuma Elementary School
18,655483.8581,4202301.721,7,Sport School,Moores Chinese Martial Arts
19,654890.4549,4203844.634,7,School,Franklin High School
20,654507.1349,4202281.664,7,School,Roosevelt Elementary School
