ID,X_begin,Y_begin,Z_begin,X_end,Y_end,Z_end,dCL,sigmaz0,NumLanes,Emis_g_m_s,Hw1,dw1,Hw2,dw2,Depth,Wtop,Wbottom,KPH,FRC,LANES,TruckRoute,METERS,NetworkID,hist_rel_10,hist_rel_22,FFS
1,678648.8845,4164383.39,30.2,678652.1507,4164383.46,30,0,2,1,4.79672818213716e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,678652.1507,4164383.46,30,678664.421,4164383.725,29.6,0,2,1,1.0098010524658e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,678664.421,4164383.725,29.6,678676.2499,4164383.98,29.2,0,2,1,6.99418208813636e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,678676.2499,4164383.98,29.2,678684.636,4164384.161,29,0,2,1,8.50962883345255e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,678684.636,4164384.161,29,678687.5491,4164384.224,28.9,0,2,1,2.2020383848815e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,678687.5491,4164384.224,28.9,678696.6391,4164384.531,28.6,0,2,1,1.27471092246083e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,678696.6391,4164384.531,28.6,678701.4036,4164384.745,28.5,0,2,1,1.92230323674065e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,678701.4036,4164384.745,28.5,678707.757,4164384.993,28.3,0,2,1,1.29688039716673e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,678707.757,4164384.993,28.3,678711.1091,4164385.176,28.2,0,2,1,2.53679467561169e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,678711.1091,4164385.176,28.2,678714.7284,4164385.254,28.2,0,2,1,2.55791739885625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,678714.7284,4164385.254,28.2,678716.5822,4164385.294,28.2,0,2,1,4.35764098154118e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,678716.5822,4164385.294,28.2,678719.0539,4164385.348,28,0,2,1,6.24908738882128e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,678719.0539,4164385.348,28,678720.378,4164385.376,27.9,0,2,1,2.09304473779981e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,678720.378,4164385.376,27.9,678722.6708,4164385.537,27.7,0,2,1,1.92886130806589e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,678722.6708,4164385.537,27.7,678723.9066,4164385.563,27.6,0,2,1,3.37047548399105e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,678723.9066,4164385.563,27.6,678727.9649,4164385.762,27.5,0,2,1,1.40243523154407e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,678727.9649,4164385.762,27.5,678730.0811,4164385.918,27.4,0,2,1,2.26891699850472e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,678730.0811,4164385.918,27.4,678736.7948,4164385.841,27.2,0,2,1,6.41642269400431e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,678736.7948,4164385.841,27.2,678740.24,4164385.805,27.1,0,2,1,9.74822830367747e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,678740.24,4164385.805,27.1,678748.8003,4164386.1,26.9,0,2,1,4.37687396486157e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,678748.8003,4164386.1,26.9,678753.3023,4164386.198,26.8,0,2,1,6.59384193774943e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,678753.3023,4164386.198,26.8,678763.7164,4164386.533,26.6,0,2,1,3.70390614978883e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,678763.7164,4164386.533,26.6,678769.1871,4164386.762,26.5,0,2,1,4.27289095961025e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,678769.1871,4164386.762,26.5,678780.5722,4164387.119,26.4,0,2,1,2.2210214153378e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,678780.5722,4164387.119,26.4,678786.5726,4164387.36,26.3,0,2,1,2.84716134881646e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,678786.5726,4164387.36,26.3,678798.9287,4164387.737,26.1,0,2,1,2.31325189629249e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,678798.9287,4164387.737,26.1,678805.3728,4164387.876,26,0,2,1,5.25876577291015e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
