ID,X_begin,Y_begin,Z_begin,X_end,Y_end,Z_end,dCL,sigmaz0,NumLanes,Emis_g_m_s,Hw1,dw1,Hw2,dw2,Depth,Wtop,Wbottom,KPH,FRC,LANES,TruckRoute,METERS,NetworkID,hist_rel_10,hist_rel_22,FFS
1,624483.809,4269523.452,24.3,624483.8108,4269523.342,24.3,0,2,1,9.01030900989904e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,624483.8108,4269523.342,24.3,624483.8246,4269522.454,24.3,0,2,1,1.12628863892264e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,624483.8246,4269522.454,24.3,624483.9341,4269521.012,24.4,0,2,1,6.90190338862647e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,624483.9341,4269521.012,24.4,624484.387,4269519.91,24.5,0,2,1,8.35786343965235e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,624484.387,4269519.91,24.5,624485.0141,4269518.809,24.6,0,2,1,7.87186274398448e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,624485.0141,4269518.809,24.6,624485.6344,4269518.153,24.8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,624485.6344,4269518.153,24.8,624486.34,4269517.609,24.9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,624486.34,4269517.609,24.9,624486.8696,4269517.173,25.1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,624486.8696,4269517.173,25.1,624487.3104,4269516.847,25.2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,624487.3104,4269516.847,25.2,624487.6624,4269516.631,25.1,0,2,1,2.35211677890995e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,624487.6624,4269516.631,25.1,624488.0143,4269516.414,25,0,2,1,2.35211674571523e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,624488.0143,4269516.414,25,624488.1903,4269516.306,24.9,0,2,1,4.35656809013579e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,624488.1903,4269516.306,24.9,624488.2774,4269516.307,24.7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,624488.2774,4269516.307,24.7,624488.4517,4269516.31,24.5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,624488.4517,4269516.31,24.5,624488.5405,4269516.2,24.4,0,2,1,5.78217649530568e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,624488.5405,4269516.2,24.4,624488.5423,4269516.089,24.3,0,2,1,6.6938775466489e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,624488.5423,4269516.089,24.3,624488.5457,4269515.867,24.4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,624488.5457,4269515.867,24.4,624489.1798,4269514.323,24.2,0,2,1,5.94831740183587e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,624489.1798,4269514.323,24.2,624490.0873,4269512.006,23.9,0,2,1,3.99003561702101e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,624490.0873,4269512.006,23.9,624492.136,4269509.152,23.8,0,2,1,2.84519571855096e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,624492.136,4269509.152,23.8,624494.7981,4269506.086,23.7,0,2,1,2.46181137931144e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,624494.7981,4269506.086,23.7,624498.8438,4269503.707,23.6,0,2,1,2.13018431151778e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,624498.8438,4269503.707,23.6,624503.6685,4269501.673,23.4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,624503.6685,4269501.673,23.4,624508.9029,4269501.31,23.3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,624508.9029,4269501.31,23.3,624514.3849,4269501.84,23.3,0,2,1,1.81571371258996e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,624514.3849,4269501.84,23.3,624520.9909,4269502.941,22.9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,624520.9909,4269502.941,22.9,624528.2904,4269504.276,22.2,0,2,1,4.02497487950455e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,624528.2904,4269504.276,22.2,624535.4036,4269506.384,21.9,0,2,1,4.04028873954183e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
